 X ,YCOO, ZCOO ,SCAL
  6.549999999999999E-005 ,  5.450000000000000E-005 , 0,  1.136839128230659E-002
  6.549999999999999E-005 ,  6.549999999999999E-005 , 0,  1.431977634863866E-002
  6.549999999999999E-005 ,  8.150000000000000E-005 , 0,  1.813453314931177E-002
  6.549999999999999E-005 ,  1.050000000000000E-004 , 0,  2.083027734373867E-002
  6.549999999999999E-005 ,  1.400000000000000E-004 , 0,  2.138608743073532E-002
  6.549999999999999E-005 ,  1.955000000000000E-004 , 0,  2.123063265133100E-002
  6.549999999999999E-005 ,  2.650000000000000E-004 , 0,  2.116962666169648E-002
  8.150000000000000E-005 ,  2.000000000000000E-006 , 0,  1.632603523003386E-007
  8.150000000000000E-005 ,  6.000000000000000E-006 , 0,  2.134014778525755E-006
  8.150000000000000E-005 ,  9.999999999999999E-006 , 0,  3.670406732870037E-006
  8.150000000000000E-005 ,  1.400000000000000E-005 , 0,  5.201733734489572E-006
  8.150000000000000E-005 ,  1.800000000000000E-005 , 0,  6.742493773438067E-006
  8.150000000000000E-005 ,  2.200000000000000E-005 , 0,  8.300226443464176E-006
  8.150000000000000E-005 ,  2.600000000000000E-005 , 0,  9.883694488076336E-006
  8.150000000000000E-005 ,  3.000000000000000E-005 , 0,  1.658450130165572E-004
  8.150000000000000E-005 ,  3.400000000000000E-005 , 0,  3.934666457555945E-003
  8.150000000000000E-005 ,  3.800000000000000E-005 , 0,  7.386338993037910E-003
  8.150000000000000E-005 ,  4.200000000000000E-005 , 0,  9.310061858494078E-003
  8.150000000000000E-005 ,  4.700000000000000E-005 , 0,  1.113660365500381E-002
  8.150000000000000E-005 ,  5.450000000000000E-005 , 0,  1.380278419632746E-002
  8.150000000000000E-005 ,  6.549999999999999E-005 , 0,  1.813460091964975E-002
  8.150000000000000E-005 ,  8.150000000000000E-005 , 0,  2.441624936225121E-002
  8.150000000000000E-005 ,  1.050000000000000E-004 , 0,  2.698045934364708E-002
  8.150000000000000E-005 ,  1.400000000000000E-004 , 0,  2.732526530198104E-002
  8.150000000000000E-005 ,  1.955000000000000E-004 , 0,  2.729887378402664E-002
  8.150000000000000E-005 ,  2.650000000000000E-004 , 0,  2.728919952319013E-002
  1.050000000000000E-004 ,  2.000000000000000E-006 , 0,  1.852622153703125E-007
